No,Level,Kode_Acuan,Kode_2025,Judul_2025,Cakupan_2025,Tidak_Cakupan_2025,Kode_2020,Judul_2020,Cakupan_2020,Tidak_Cakupan_2020,Status
11,Kelompok (Kode KBLI),1117,1117,PERTANIAN BIJI-BIJIAN PENGHASIL MINYAK MAKAN,"Kelompok ini mencakup kegiatan pertanian biji-bijian penghasil minyak makan, seperti biji wijen, biji kanola, biji safflower, dan biji bunga matahari. Pertanian biji-bijian penghasil minyak makan yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan",,1117,PERTANIAN BIJI-BIJIAN PENGHASIL MINYAK MAKAN,"Kelompok ini mencakup usaha pertanian biji-bijian penghasil minyak makan mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman biji-bijian penghasil minyak makan, seperti biji wijen, biji bunga matahari dan tanaman biji-bijian penghasil minyak makan lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman biji-bijian penghasil minyak makan.",,TETAP (judul sama)
12,Kelompok (Kode KBLI),1118,1118,PERTANIAN BIJI-BIJIAN PENGHASIL MINYAK SELAIN MINYAK MAKAN,"Kelompok ini mencakup kegiatan pertanian biji-bijian penghasil minyak selain minyak makan, seperti biji kapas, biji rami, biji moster, nigerseed, dan biji jarak pohon. Pertanian biji-bijian penghasil minyak selain minyak makan yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan",,1118,PERTANIAN BIJI-BIJIAN PENGHASIL BUKAN MINYAK MAKAN,"Kelompok ini mencakup usaha pertanian biji-bijian penghasil bukan minyak makan mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman biji-bijian penghasil bukan minyak makan, seperti biji kapas, biji rami, biji mustard, niger seeds, biji jarak pohon dan tanaman biji-bijian penghasil bukan minyak makan lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman biji-bijian penghasil bukan minyak makan.",,BERUBAH (judul/definisi berbeda)
13,Kelompok (Kode KBLI),1119,,,,,1119,"PERTANIAN SEREALIA LAINNYA, ANEKA KACANG DAN BIJI-BIJIAN PENGHASIL MINYAK LAINNYA","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman serealia lainnya bukan padi, jagung dan gandum, tanaman aneka kacang palawija lainnya dan pertanian tanaman lainnya yang belum diklasifikasikan pada kelompok 01111 s.d. 01118. Termasuk kegiatan pembibitan dan pembenihan tanaman serealia dan biji-bijian penghasil minyak lainnya.",,DIHAPUS (hanya ada di KBLI 2020)
14,Sub Golongan,112,112,PERTANIAN PADI,,,112,PERTANIAN PADI,"Subgolongan ini mencakup pertanian padi, termasuk pertanian padi organik dan padi yang sudah dimodifikasi. Termasuk kegiatan pembibitan dan pembenihan tanaman padi. Budidaya ikan di sawah (mina padi) digolongkan dalam kegiatan perikanan.",,TETAP (judul sama)
15,Kelompok (Kode KBLI),1121,1121,PERTANIAN PADI HIBRIDA,"Kelompok ini mencakup kegiatan pertanian padi hibrida, termasuk di dalamnya kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan sampai dengan dihasilkan gabah. Kelompok ini juga mencakup kegiatan penanaman padi hibrida untuk menghasilkan benih berupa biji. Padi hibrida adalah keturunan pertama (F1) yang dihasilkan dari persilangan antara dua galur atau lebih tetua pembentuknya dan/atau galur/inbrida homozigot, contohnya: Bernas Super, Bernas Prima, Sembada B3, Sembada 626, Sembada 989, SL11 SHS, Bridantara 3, dan PP5. Turunan dari padi hibrida tidak termasuk sebagai padi hibrida",,1121,PERTANIAN PADI HIBRIDA,"Kelompok ini mencakup usaha pertanian padi hibrida mulai dari kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan sampai dengan dihasilkan komoditas gabah kering panen (GKP). Termasuk kegiatan pembibitan dan pembenihan tanaman padi hibrida. Padi hibrida adalah keturunan pertama (F1) yang dihasilkan dari persilangan antara dua galur atau lebih tetua pembentuknya dan/atau galur/inbrida homozigot. Contohnya: Bernas Super, Bernas Prima, Sembada B3, SL 11 SHS. Turunan dari padi hibrida tidak termasuk sebagai padi hibrida.",,TETAP (judul sama)
16,Kelompok (Kode KBLI),1122,1122,PERTANIAN PADI INBRIDA,"Kelompok ini mencakup kegiatan pertanian padi inbrida (selain padi hibrida) termasuk di dalamnya kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatanpascapanen yang dilakukan sebagai satu kesatuan kegiatan sampai dengan dihasilkan gabah. Kelompok ini juga mencakup kegiatan penanaman padi inbrida untuk menghasilkan benih berupa biji. Padi inbrida adalah varietas yang dikembangkan dari satu tanaman melalui penyerbukan sendiri sehingga memiliki tingkat kemurnian atau homozigositas yang tinggi, contohnya: Memberamo, Mekongga, Ciherang, IR-6, Inpari, Inpara, Inpago, Pak Tiwi, IPB 15S, serta padi varietas lokal yang telah ada dandibudidayakan secara turun temurun oleh petani, seperti Rojo Lele, Pandan Wangi, dan Pusaka Bhagasasi",,1122,PERTANIAN PADI INBRIDA,"Kelompok ini mencakup usaha pertanian inbrida (bukan hibrida) mulai dari kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan sampai dengan dihasilkan komoditas gabah kering panen (GKP). Termasuk kegiatan pembibitan dan pembenihan tanaman padi in hibrida. Padi in hibrida adalah padi yang produksi benihnya dilakukan melalui penyerbukan sendiri atau terjadi secara alami. Terdiri dari Padi varietas Unggul Non Hibrida seperti Memberamo, Menkongga, Ciherang, IR-6, Inpari, Inpara, Inpago dan Padi Varietas Lokas yang telah ada dan dibudidayakan secara turun temurun oleh petani.",,TETAP (judul sama)
17,Sub Golongan,113,113,"PERTANIAN SAYURAN, BUAH, DAN UMBI",,,113,"PERTANIAN SAYURAN, BUAH DAN ANEKA UMBI","Subgolongan ini mencakup : - Pertanian hortikultura sayuran seperti asparagus, kol, kembang kol dan brokoli, selada dan chicory, bayam, tumbuhan yang bunganya dimakan sebagai sayur, dan sayuran daun dan batang lainnya - Pertanian hortikultura buah, seperti semangka, blewah, labu buah, melon dan sejenisnya - Pertanian aneka umbi hortikultura, seperti kentang, kentang manis, wortel, lobak cina, bawang putih, bawang bombay atau bawang merah, bawang perai dan sayuran alliaceous lainnya - Perrtanian tanaman aneka umbi palawija, seperti ubi kayu, ubi jalar, talas, ganyong, irut, gembili dan tanaman aneka umbi palawija lainnya - Pertanian buah yang dipakai sebagai sayuran, seperti mentimun, terung, tomat, belimbing sayur dan labu sayur dan lainnya - Pertanian jamur dan truffle - Pertanian bibit sayuran, kecuali bibit tanaman bit - Pertanian bit gula - Pertanian sayuran lainnya","Subgolongan ini tidak mencakup : - Pertanian spawn jamur, lihat 0130 - Pertanian cabai dan merica (capsicum spp) dan tanaman bumbu lainnnya, lihat 0128",BERUBAH (judul/definisi berbeda)
18,Kelompok (Kode KBLI),1131,1131,PERTANIAN SAYURAN DAUN,"Kelompok ini mencakup kegiatan pertanian sayuran yang daun, bunga atau batangnya dimakan sebagai sayur, seperti articok, petsai/sawi, asparagus, kubis/kol, kembang kol, brokoli, selada, seledri, daun bawang, bayam, dan kangkung. Pertanian sayuran daun yang dimaksud mencakup kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Bayam dan kangkung yang dipanen dengan akarnya juga dimasukkan dalam kelompok ini. Kelompok ini juga mencakup kegiatan penanaman tanaman sayuran daun untuk menghasilkan benih berupa biji.",,1131,PERTANIAN HORTIKULTURA SAYURAN DAUN,"Kelompok ini mencakup usaha pertanian hortikultura dan sayuran daun mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan, dan pasca panen jika menjadi satu kesatuan kegiatan tanaman hortikultura sayuran yang dipanen sekali, seperti petsai/sawi, asparagus, kubis/kol, kembang kol dan brokoli, selada dan seledri/chicory, daun bawang, bayam, kangkung, tumbuhan yang bunganya dimakan sebagai sayur dan sayuran daun dan batang lainnya. Bayam dan kangkung yang dipanen dengan akarnya juga dimasukkan dalam kelompok ini. Termasuk kegiatan pembibitan dan pembenihan tanaman hortikultura sayuran daun.",,BERUBAH (judul/definisi berbeda)
19,Kelompok (Kode KBLI),1132,1132,PERTANIAN BUAH SEMUSIM,"Kelompok ini mencakup kegiatan pertanian buah semusim, seperti semangka, blewah, melon, dan timun suri. Pertanian buah semusim yang dimaksud mencakup kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini jugamencakup kegiatan penanaman tanaman buah semusim untuk menghasilkan benih berupa biji",,1132,PERTANIAN HORTIKULTURA BUAH,"Kelompok ini mencakup usaha pertanian hortikultura buah mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman hortikultura buah, seperti semangka, belewah, melon, timun suri dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman hortikultura buah.",,BERUBAH (judul/definisi berbeda)
20,Kelompok (Kode KBLI),1133,1133,PERTANIAN SAYURAN BUAH,"Kelompok ini mencakup kegiatan pertanian hortikultura sayuran buah, seperti mentimun, terong, tomat, belimbing sayur, labu sayur (siam), waluh/labu kuning, dan gambas/oyong. Pertanian sayuran buah yang dimaksud mencakup kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu kesatuan kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman sayuran buah untuk menghasilkan benih berupa biji","Kelompok ini tidak mencakup pertanian cabai dan paprika, lihat kelompok 01138",1133,PERTANIAN HORTIKULTURA SAYURAN BUAH,"Kelompok ini mencakup usaha pertanian hortikultura sayuran buah mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman hortikultura buah yang dipakai sebagai sayuran (labu), seperti mentimun, terung, tomat, belimbing sayur dan labu sayur (siam), waluh/labu kuning, gambas/oyong dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman hortikultura sayuran buah.",,BERUBAH (judul/definisi berbeda)
21,Kelompok (Kode KBLI),1134,1134,PERTANIAN SAYURAN UMBI,"Kelompok ini mencakup kegiatan pertanian sayuran umbi, seperti kentang, wortel, lobak cina, rebung, bawang putih, bawang bombai, bawang merah, dan bawang perai. Pertanian sayuran umbi yang dimaksud mencakup kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan",,1134,PERTANIAN HORTIKULTURA SAYURAN UMBI,"Kelompok ini mencakup usaha pertanian hortikultura sayuran umbi mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan pasca panen jika menjadi satu kesatuan kegiatan tanaman umbi-umbian hortikultura, seperti kentang, kentang manis, wortel, lobak cina, rebung, bawang putih, bawang bombay atau bawang merah, bawang perai dan sayuran alliaceous lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman hortikultura sayuran umbi.",,BERUBAH (judul/definisi berbeda)
22,Kelompok (Kode KBLI),1135,1135,PERTANIAN UBI KAYU,"Kelompok ini mencakup kegiatan pertanian ubi kayu, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan",,1135,PERTANIAN ANEKA UMBI PALAWIJA,"Kelompok ini mencakup usaha pertanian aneka umbi palawija mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman aneka umbi palawija, seperti ubi kayu, ubi jalar, talas, ganyong dan irut, gembili dan tanaman palawija, iles-iles, porang dan umbi-umbian palawija lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman aneka umbi palawija.",,BERUBAH (judul/definisi berbeda)
23,Kelompok (Kode KBLI),1136,1136,PERTANIAN JAMUR,"Kelompok ini mencakup kegiatan pertanian jamur, seperti jamur merang, jamur tiram, jamur shittake, jamur kuping, dan truffle. Pertanian jamur yang dimaksud mencakup kegiatan pembuatan kubung, pengolahan media tanam, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan","Kelompok ini tidak mencakup kegiatan pertanian spawn jamur,lihat subgolongan 0130",1136,PERTANIAN JAMUR,"Kelompok ini mencakup usaha pertanian jamur mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman jamur dan truffle, seperti jamur merang, jamur tiram, jamur shitake, jamur kuping dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman jamur.",,TETAP (judul sama)
24,Kelompok (Kode KBLI),1137,1137,PERTANIAN BIT GULA DAN TANAMAN PEMANIS SELAIN TEBU,"Kelompok ini mencakup kegiatan pertanian bit gula dan tanaman pemanis selain tebu, seperti stevia dan sorgum manis. Pertanian bit gula dan tanaman pemanis selain tebu yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan,dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan",,1137,PERTANIAN BIT GULA DAN TANAMAN PEMANIS BUKAN TEBU,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman bit gula dan tanaman pemanis lainnya bukan tebu, seperti stevia dan sorgum manis. Termasuk kegiatan pembibitan dan pembenihan tanaman bit gula dan tanaman pemanis bukan tebu.",,BERUBAH (judul/definisi berbeda)
25,Kelompok (Kode KBLI),1138,1138,PERTANIAN CABAI,"Kelompok ini mencakup kegiatan pertanian cabai (Capsicum spp), seperti cabai besar, cabai rawit, cabai keriting, dan paprika. Pertanian cabai yang dimaksud mencakup kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman cabai untuk menghasilkan benih berupa biji",,,,,,BARU (hanya ada di KBLI 2025)
26,Kelompok (Kode KBLI),1139,1139,PERTANIAN UMBI LAINNYA,"Kelompok ini mencakup kegiatan pertanian umbi lainnya seperti ubijalar, talas, ganyong, irut, gembili, iles-iles, dan porang. Pertanian umbilainnya yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan",,1139,"PERTANIAN SAYURAN, BUAH DAN ANEKA UMBI LAINNYA","Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman sayuran, buah dan aneka umbi lainnya yang dipanen lebih dari sekali; dan pertanian sayuran lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman sayuran lainnya, kecuali bibit tanaman bit.",,BERUBAH (judul/definisi berbeda)
27,Sub Golongan,114,114,PERTANIAN TEBU,,,114,PERKEBUNAN TEBU,Subgolongan ini mencakup : - Perkebunan tebu,"Subgolongan ini tidak mencakup : - Pertanian bit gula, lihat 0113",BERUBAH (judul/definisi berbeda)
28,Kelompok (Kode KBLI),1140,1140,PERTANIAN TEBU,"Kelompok ini mencakup kegiatan pertanian tebu, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan,dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan","Kelompok ini tidak mencakup pertanian bit gula, lihat kelompok 01137",1140,PERKEBUNAN TEBU,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan jika menjadi satu kesatuan kegiatan tanaman tebu. Termasuk kegiatan pembibitan dan pembenihan tebu.",,BERUBAH (judul/definisi berbeda)
29,Sub Golongan,115,115,PERTANIAN TEMBAKAU,,,115,PERKEBUNAN TEMBAKAU,"Subgolongan ini mencakup : - Perkebunan tembakau (bukan industri), termasuk kegiatan pembersihan dan perajangan tembakau yang tidak dapat dipisahkan dari kegiatan perkebunannya",,BERUBAH (judul/definisi berbeda)
30,Kelompok (Kode KBLI),1150,1150,PERTANIAN TEMBAKAU,"Kelompok ini mencakup kegiatan pertanian tanaman tembakau, termasuk di dalamnya kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan pembersihan dan perajangan tembakau yang tidak dapat dipisahkan dari kegiatan pertaniannya. Kelompok ini juga mencakup kegiatan penanaman tanaman tembakau untuk menghasilkan benih berupa biji","Kelompok ini tidak mencakup kegiatan pembuatan produk tembakau, lihat subgolongan 1200",1150,PERKEBUNAN TEMBAKAU,"Kelompok ini mencakup usaha perkebunan mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan dan pemanenan jika menjadi satu kesatuan kegiatan tanaman tembakau. Termasuk kegiatan pembersihan dan perajangan tembakau yang tidak dapat dipisahkan dari kegiatan perkebunannya. Kegiatan pembibitan dan pembenihan tanaman tembakau juga tercakup dalam kelompok ini.",,BERUBAH (judul/definisi berbeda)
31,Sub Golongan,116,116,PERTANIAN TANAMAN BERSERAT,,,116,PERTANIAN TANAMAN BERSERAT,"Subgolongan ini mencakup : - Pertanian kapas - Pertanian yute, kenaf - Pertanian batang lenan dan rami - Pertanian sisal dan tanaman bahan baku tekstil lainnya termasuk genus agave - Pertanian abaca, rami dan tanaman bahan baku tekstil lainnya - Pertanian tanaman serat lainnya",,TETAP (judul sama)
32,Kelompok (Kode KBLI),1160,1160,PERTANIAN TANAMAN BERSERAT,"Kelompok ini mencakup pertanian tanaman berserat, seperti kapas, yute, kenaf, batang lenan, rami, sisal, abaka, dan bahan baku tekstil lainnya dari genus Agave. Pertanian tanaman berserat yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman berserat untuk menghasilkan benih berupa biji",,1160,PERTANIAN TANAMAN BERSERAT,"Kelompok ini mencakup usaha pertanian mulai dari kegiatan pengolahan lahan, penyemaian, pembibitan, penanaman, pemeliharaan, dan pemanenan jika menjadi satu kesatuan kegiatan tanaman berserat sebagai bahan baku tekstil, seperti kapuk, kapas, rosela, rami, yute, linen, agave, abaca dan kenaf, pertanian sisal dan tanaman bahan baku tekstil lainnya termasuk genus agave dan pertanian tanaman serat lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman berserat.",,TETAP (judul sama)
